Luminosity,teff_gspphot,bp_rp,phot_g_mean_mag
2.18E+01,8400,0.09,1.6
1.51E+01,8400,0.09,2
5.47E+00,8400,0.09,3.1

2.67E+05,8547,0.07,-8.6
2.22E+05,8547,0.07,-8.4
1.06E+04,8547,0.07,-5.1
1.11E+03,8150,0.14,-2.7
3.68E+01,8150,0.14,1
1.93E+01,8150,0.14,1.7
1.22E+01,8150,0.14,2.2
4.43E+00,8150,0.14,3.3

2.60E+05,8353,0.1,-8.6
2.38E+05,8353,0.1,-8.5
1.04E+04,8353,0.1,-5.1
9.90E+02,7900,0.19,-2.6
3.28E+01,7900,0.19,1.1
1.57E+01,7900,0.19,1.9
1.09E+01,7900,0.19,2.3
3.59E+00,7900,0.19,3.5

2.80E+05,8160,0.14,-8.7
2.33E+05,8160,0.14,-8.5
1.02E+04,8160,0.14,-5.1
9.70E+02,7650,0.24,-2.6
2.67E+01,7650,0.24,1.3
1.40E+01,7650,0.24,2
8.85E+00,7650,0.24,2.5
2.93E+00,7650,0.24,3.7

2.74E+05,7967,0.18,-8.7
2.28E+05,7967,0.18,-8.5
9.96E+03,7967,0.18,-5.1
8.70E+02,7400,0.3,-2.5
2.19E+01,7400,0.3,1.5
1.15E+01,7400,0.3,2.2
7.94E+00,7400,0.3,2.6
2.40E+00,7400,0.3,3.9

2.96E+05,7773,0.22,-8.8
2.24E+05,7773,0.22,-8.5
9.79E+03,7773,0.22,-5.1
8.65E+02,7260,0.33,-2.5
2.17E+01,7260,0.33,1.5
1.25E+01,7260,0.33,2.1
6.56E+00,7260,0.33,2.8
1.98E+00,7260,0.33,4.1

2.91E+05,7580,0.26,-8.8
2.02E+05,7580,0.26,-8.4
8.80E+03,7580,0.26,-5
8.60E+02,7120,0.36,-2.5
1.97E+01,7120,0.36,1.6
1.49E+01,7120,0.36,1.9
5.95E+00,7120,0.36,2.9
1.64E+00,7120,0.36,4.3

3.16E+05,7387,0.3,-8.9
1.99E+05,7387,0.3,-8.4
8.70E+03,7387,0.3,-5
7.82E+02,6980,0.39,-2.4
1.96E+01,6980,0.39,1.6
1.63E+01,6980,0.39,1.8
4.94E+00,6980,0.39,3.1
1.49E+00,6980,0.39,4.4

3.43E+05,7193,0.34,-9
1.80E+05,7193,0.34,-8.3
7.86E+03,7193,0.34,-4.9
7.81E+02,6840,0.42,-2.4
1.96E+01,6840,0.42,1.6
1.96E+01,6840,0.42,1.6
4.50E+00,6840,0.42,3.2
1.24E+00,6840,0.42,4.6

3.74E+05,7000,0.39,-9.1
1.63E+05,7000,0.39,-8.2
7.82E+03,7000,0.39,-4.9
7.83E+02,6700,0.46,-2.4
2.16E+01,6700,0.46,1.5
2.16E+01,6700,0.46,1.5
3.75E+00,6700,0.46,3.4
1.03E+00,6700,0.46,4.8

3.74E+05,6760,0.44,-9.1
1.49E+05,6760,0.44,-8.1
7.82E+03,6760,0.44,-4.9
7.86E+02,6560,0.49,-2.4
2.37E+01,6560,0.49,1.4
1.64E+01,6560,0.49,1.8
3.13E+00,6560,0.49,3.6
8.62E-01,6560,0.49,5

4.13E+05,6520,0.5,-9.2
1.37E+05,6520,0.5,-8
7.18E+03,6520,0.5,-4.8
7.91E+02,6420,0.52,-2.4
2.62E+01,6420,0.52,1.3
1.25E+01,6420,0.52,2.1
2.62E+00,6420,0.52,3.8
7.91E-01,6420,0.52,5.1

4.19E+05,6280,0.56,-9.2
1.27E+05,6280,0.56,-7.9
7.29E+03,6280,0.56,-4.8
7.29E+02,6280,0.56,-2.3
2.90E+01,6280,0.56,1.2
1.05E+01,6280,0.56,2.3
2.41E+00,6280,0.56,3.9
6.65E-01,6280,0.56,5.3

4.73E+05,6011,0.63,-9.3
1.30E+05,6011,0.63,-7.9
6.84E+03,6011,0.63,-4.7
7.39E+02,6140,0.6,-2.3
3.22E+01,6140,0.6,1.1
8.10E+00,6140,0.6,2.6
2.03E+00,6140,0.6,4.1
6.14E-01,6140,0.6,5.4

4.95E+05,5743,0.7,-9.3
1.24E+05,5743,0.7,-7.8
7.15E+03,5743,0.7,-4.7
7.84E+02,5743,0.7,-2.3
3.75E+01,5743,0.7,1
6.25E+00,6000,0.63,2.9
1.72E+00,6000,0.63,4.3
5.20E-01,6000,0.63,5.6

5.27E+05,5474,0.78,-9.3
1.32E+05,5474,0.78,-7.8
7.62E+03,5474,0.78,-4.7
8.35E+02,5474,0.78,-2.3
4.38E+01,5474,0.78,0.9
6.35E+00,5890,0.66,2.9
1.46E+00,5890,0.66,4.5
4.40E-01,5890,0.66,5.8

5.73E+05,5206,0.86,-9.3
1.31E+05,5206,0.86,-7.7
8.29E+03,5206,0.86,-4.7
9.09E+02,5206,0.86,-2.3
5.23E+01,5206,0.86,0.8
6.48E+00,5780,0.69,2.9
1.23E+00,5780,0.69,4.7
3.73E-01,5780,0.69,6

7.03E+05,4937,0.94,-9.4
1.47E+05,4937,0.94,-7.7
8.46E+03,4937,0.94,-4.6
1.11E+03,4937,0.94,-2.4
7.03E+01,4937,0.94,0.6
6.04E+00,5670,0.72,3
1.15E+00,5670,0.72,4.8
3.48E-01,5670,0.72,6.1

8.13E+05,4669,1.03,-9.4
1.70E+05,4669,1.03,-7.7
9.77E+03,4669,1.03,-4.6
1.29E+03,4669,1.03,-2.4
8.91E+01,4669,1.03,0.5
6.20E+00,5560,0.75,3
9.82E-01,5560,0.75,5
2.97E-01,5560,0.75,6.3

1.07E+06,4400,1.13,-9.5
1.86E+05,4400,1.13,-7.6
1.18E+04,4400,1.13,-4.6
1.55E+03,4400,1.13,-2.4
1.18E+02,4400,1.13,0.4
6.38E+00,5450,0.79,3
8.41E-01,5450,0.79,5.2
2.54E-01,5450,0.79,6.5

1.12E+06,4343,1.15,-9.5
1.95E+05,4343,1.15,-7.6
1.23E+04,4343,1.15,-4.6
1.62E+03,4343,1.15,-2.4
1.23E+02,4343,1.15,0.4
6.59E+00,5340,0.82,3
7.92E-01,5340,0.82,5.3
2.18E-01,5340,0.82,6.7

1.18E+06,4286,1.17,-9.5
2.05E+05,4286,1.17,-7.6
1.29E+04,4286,1.17,-4.6
1.70E+03,4286,1.17,-2.4
1.29E+02,4286,1.17,0.4
6.84E+00,5230,0.85,3
6.84E-01,5230,0.85,5.5
2.06E-01,5230,0.85,6.8

1.13E+06,4229,1.19,-9.4
1.96E+05,4229,1.19,-7.5
1.49E+04,4229,1.19,-4.7
1.96E+03,4229,1.19,-2.5
1.24E+02,4229,1.19,0.5
6.50E+00,5120,0.89,3.1
6.50E-01,5120,0.89,5.6
1.79E-01,5120,0.89,7

1.19E+06,4171,1.21,-9.4
2.07E+05,4171,1.21,-7.5
1.57E+04,4171,1.21,-4.7
2.07E+03,4171,1.21,-2.5
1.31E+02,4171,1.21,0.5
6.80E+00,5010,0.92,3.1
5.66E-01,5010,0.92,5.8
1.71E-01,5010,0.92,7.1

1.26E+06,4114,1.24,-9.4
2.19E+05,4114,1.24,-7.5
1.66E+04,4114,1.24,-4.7
2.19E+03,4114,1.24,-2.5
1.38E+02,4114,1.24,0.5
7.16E+00,4900,0.96,3.1
5.43E-01,4900,0.96,5.9
1.50E-01,4900,0.96,7.3

1.22E+06,4057,1.26,-9.3
2.12E+05,4057,1.26,-7.4
1.76E+04,4057,1.26,-4.7
2.32E+03,4057,1.26,-2.5
1.61E+02,4057,1.26,0.4
7.71E+00,4760,1,3.1
4.43E-01,4760,1,6.2
1.34E-01,4760,1,7.5

1.30E+06,4000,1.28,-9.3
2.25E+05,4000,1.28,-7.4
2.06E+04,4000,1.28,-4.8
2.47E+03,4000,1.28,-2.5
