source_id,phot_g_mean_mag,bp_rp,teff_gspphot,target_id,target_ra,target_dec,target_separation (deg)
3216469293938604800,19.009302,2.522787,,Horsehead nebula,85.24583,-2.45833,0.03884845290334826
3216467648963991808,20.752687,1.8159809,,Horsehead nebula,85.24583,-2.45833,0.039542398851256384
3216468538023396224,17.831211,1.574049,4797.427,Horsehead nebula,85.24583,-2.45833,0.04261336570602908
3216469195153475072,15.447578,2.8127766,,Horsehead nebula,85.24583,-2.45833,0.04265997040029927
3216469328296767104,17.161917,1.3548527,5496.2534,Horsehead nebula,85.24583,-2.45833,0.04301019346475969
3216467648965258624,15.685487,1.2967834,6792.704,Horsehead nebula,85.24583,-2.45833,0.043282847799307106
3216467644669582080,19.146414,2.563364,,Horsehead nebula,85.24583,-2.45833,0.04343236461949721
3216469195153474816,18.10726,2.4791374,3367.037,Horsehead nebula,85.24583,-2.45833,0.043728415511711784
3216469470030102272,19.75646,1.4915924,,Horsehead nebula,85.24583,-2.45833,0.04470309668946191
3216469366952169344,15.563635,1.8394508,5264.0747,Horsehead nebula,85.24583,-2.45833,0.045397367393005254
3216467575950105856,19.939306,,,Horsehead nebula,85.24583,-2.45833,0.04572965983443341
3216468503663119872,12.004049,1.8909264,4538.211,Horsehead nebula,85.24583,-2.45833,0.04586652417885134
3216467580244506880,19.131655,1.9995861,,Horsehead nebula,85.24583,-2.45833,0.04612243382113583
3216468748477013888,14.730464,1.3782215,6686.3794,Horsehead nebula,85.24583,-2.45833,0.04656267887468349
3216469470030099968,20.09094,2.0704556,,Horsehead nebula,85.24583,-2.45833,0.04817974145907665
3216468954635038464,21.027512,1.8835335,,Horsehead nebula,85.24583,-2.45833,0.04944134148502526
3216468439239245056,16.316587,1.6725092,4724.9214,Horsehead nebula,85.24583,-2.45833,0.04958156904373796
3216469470030102784,20.471996,1.546835,,Horsehead nebula,85.24583,-2.45833,0.0497861822283786
3216467614605523584,16.731546,1.537775,5319.2695,Horsehead nebula,85.24583,-2.45833,0.049799459831363656
3216469397016244736,19.564648,1.8092346,,Horsehead nebula,85.24583,-2.45833,0.049996948821445814
3216469470030743424,19.054441,1.4779472,,Horsehead nebula,85.24583,-2.45833,0.050187770216834404
3216467545885822208,21.020153,1.8067036,,Horsehead nebula,85.24583,-2.45833,0.050456193284256406
3216467545884772992,20.650837,1.4957981,,Horsehead nebula,85.24583,-2.45833,0.050721754215500126
3216468748475623296,20.192108,1.8597298,,Horsehead nebula,85.24583,-2.45833,0.050881826239805104
3216468507958721536,20.366573,1.0718575,,Horsehead nebula,85.24583,-2.45833,0.05092722652661615
3216471909571538944,19.813442,1.9701805,,Horsehead nebula,85.24583,-2.45833,0.05102019448115427
3216469465735722112,17.467297,2.3716621,3475.96,Horsehead nebula,85.24583,-2.45833,0.051796160828481305
3216467477165294208,18.945145,1.923069,3737.3037,Horsehead nebula,85.24583,-2.45833,0.05181290363116391
3216469465735721984,18.635853,1.4270687,4594.9727,Horsehead nebula,85.24583,-2.45833,0.052255652020624134
3216467683325001216,15.517619,1.6864395,5265.523,Horsehead nebula,85.24583,-2.45833,0.05263726790647031
